location,street,area,latitude,longitude,zoom,categories,pictures_large,pictures_small
"Subang Jaya","Jalan SS17 / 1a","Selangor","3.074075","101.579486","15","Commercial","/125/tg_2;/125/tg_1;/125/tg_3_(1);","/125/tg_2;/125/tg_1;/125/tg_3_(1);"
"Shah Alam","Factory Unit ","Subang II ","3.140903","101.523658","15","Commercial","/54/20141111_110405;/54/20151121_095508;/54/5-3;/54/20140822_161348_android;/54/54803c2dc5a86c27393ea808186cdaf07f9bd892c729f2a289ce245b84b07f60;/54/f24b2e1e3e6e90e7b450039bae6afd1a1bd69b0807f762c83bce2ee14b5b0370;","/54/20141111_110405;/54/20151121_095508;/54/5-3;/54/20140822_161348_android;/54/54803c2dc5a86c27393ea808186cdaf07f9bd892c729f2a289ce245b84b07f60;/54/f24b2e1e3e6e90e7b450039bae6afd1a1bd69b0807f762c83bce2ee14b5b0370;"
"Seri Kembangan","Lot 1839, Jalan KPB 6, Kawasan Perindustrian Balakong","Selangor","3.034893","101.738336","15","Commercial","/118/img_20180623_103827;/118/kr1;/118/20160129_183446;/118/20160129_185704;/118/20160129_185646;/118/kr_2;/118/img_20180623_103743;/118/img_20180623_103849;/118/img_20180623_104000;/118/img_20180623_104015;/118/img_20180623_104016;/118/img_20180623_104043;/118/img_20180623_104220;/118/img_20180623_104230;/118/img_20180623_104303;/118/img_20180623_104515;/118/img_20180623_104520;/118/img_20180623_104527;","/118/img_20180623_103827;/118/kr1;/118/20160129_183446;/118/20160129_185704;/118/20160129_185646;/118/kr_2;/118/img_20180623_103743;/118/img_20180623_103849;/118/img_20180623_104000;/118/img_20180623_104015;/118/img_20180623_104016;/118/img_20180623_104043;/118/img_20180623_104220;/118/img_20180623_104230;/118/img_20180623_104303;/118/img_20180623_104515;/118/img_20180623_104520;/118/img_20180623_104527;"
"Seremban","Kampung Kanchong","Rantau","2.584956","102.003480","15","Commercial","/115/20151031_093200;/115/20151031_093325;/115/20151218_171511;/115/20151218_171516;/115/20151218_171519;","/115/20151031_093200;/115/20151031_093325;/115/20151218_171511;/115/20151218_171516;/115/20151218_171519;"
"Pahang","Cameron Highlands Resort","Tanah Rata","4.487837","101.378772","15","Commercial","/53/4-0;/53/4-3;/53/img_20181109_152212;/53/img_20181110_082933;","/53/4-0;/53/4-3;/53/img_20181109_152212;/53/img_20181110_082933;"
"Kuala Lumpur","","224, Jalan Mahkota, Maluri","3.129134","101.732535","15","Commercial","/129/img-20160907-wa0022;","/129/img-20160907-wa0022;"
"Bandar Enstek","Kelloggs Asia Products ","Labu, Negeri Sembilan","2.708165","101.788260","15","Commercial","/98/share2015-02-16-5f3ff0437e269b2d47c6c0518f2f9975997324ec002d444dc88e16c797aa9cba-picture;/98/image-3ef7008783576cbd8c60d118b11cb397311a420674bd236c53c723901f62d166-v;/98/image-353c5defacfcfe89839d87e941e360ec4b12f3303d584d53d360b08e482861b4-v;/98/image-005648bd8fb232fec41ef05edec5ddefab3be3927321dbce547aab62b4503109-v;/98/image-a379c7dcc341b4bb12341e27d82c02905121ee23c4b5b55d9fb192c8260634c2-v;/98/share2015-02-14-fe8ca7d7c1bc1f35aef874554a07c0054c6f18a0ef36c2b06d7d25f5d395c44d-picture;/98/kelloggs;/98/share2015-02-12-978448046b40dc1da54be68ab1cffe70ce97886a3b909011491d26eef9b15051-picture;/98/20150918_092744;/98/20150918_093446;/98/20150918_093510;","/98/share2015-02-16-5f3ff0437e269b2d47c6c0518f2f9975997324ec002d444dc88e16c797aa9cba-picture;/98/image-3ef7008783576cbd8c60d118b11cb397311a420674bd236c53c723901f62d166-v;/98/image-353c5defacfcfe89839d87e941e360ec4b12f3303d584d53d360b08e482861b4-v;/98/image-005648bd8fb232fec41ef05edec5ddefab3be3927321dbce547aab62b4503109-v;/98/image-a379c7dcc341b4bb12341e27d82c02905121ee23c4b5b55d9fb192c8260634c2-v;/98/share2015-02-14-fe8ca7d7c1bc1f35aef874554a07c0054c6f18a0ef36c2b06d7d25f5d395c44d-picture;/98/kelloggs;/98/share2015-02-12-978448046b40dc1da54be68ab1cffe70ce97886a3b909011491d26eef9b15051-picture;/98/20150918_092744;/98/20150918_093446;/98/20150918_093510;"
"Australia","Catherine Booth College","Victoria, Ringwood","-37.830370","145.224870","15","Commercial","/72/20140628_143635_android;/72/20140628_143653_android;/72/20140807_151022_android;/72/img_6476;/72/img_6480;","/72/20140628_143635_android;/72/20140628_143653_android;/72/20140807_151022_android;/72/img_6476;/72/img_6480;"
